Employee_ID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,MonthlyIncome,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,ExperienceRatio,PromotionGap,IncomePerLevel,CompanySwitchRate,RoleStability,PromotionDelay,LowIncomeFlag,Feedback,Sentiment,Attrition_Risk,Risk_Score,Risk_Level,Productivity_Risk_Score,Productivity_Risk_Level,Attrition_Risk_%,AgeGroup
1,56,1,Travel Rarely,Network Administration,24,Graduation,5,Male,186630,2,6,Manager,4,Married,7,Yes,85,9,1,7,2,4,0.7,3,31105.0,0.7777777777777778,0.2857142857142857,5,0,Poor management support,-0.4,0.8421453502083471,84.21453502083472,High Risk,58.97903559191201,Medium,84.21453502083472,50-60
2,46,1,Travel Rarely,Software Development,45,Degree,5,Male,78553,4,5,Help Desk,2,Divorced,3,No,22,18,4,1,2,0,0.05263157894736842,1,15710.6,0.16666666666666666,2.0,18,0,Poor management support,-0.4,0.6618130154815918,66.18130154815918,Medium Risk,49.9143473320281,Medium,66.18130154815918,40-50
3,32,0,No Travel,Data Science,30,Master's,3,Female,175003,1,4,HR,2,Single,2,Yes,100,0,4,5,5,8,5.0,-3,43750.75,inf,1.0,-8,0,Supportive management,0.5,0.009659238730734139,0.9659238730734139,Low Risk,73.69986891877765,High,0.9659238730734139,30-40
4,60,1,Travel Frequently,Data Science,42,Graduation,2,Female,100795,2,8,Help Desk,3,Married,5,No,72,17,2,1,7,3,0.05555555555555555,-2,12599.375,0.29411764705882354,7.0,14,0,Salary is low,0.0,0.9998685640835361,99.9868564083536,High Risk,70.5859158367683,High,99.9868564083536,50-60
5,25,0,No Travel,Network Administration,26,Graduation,4,Female,75256,1,2,Director,4,Single,9,No,21,12,5,7,2,4,0.5384615384615384,3,37628.0,0.75,0.2857142857142857,8,0,Good work life balance,0.7,0.00027132937608708894,0.027132937608708895,Low Risk,55.887141106636825,Medium,0.027132937608708895,18-30
6,38,0,Travel Rarely,Data Science,38,Degree,5,Male,140154,1,2,Developer,1,Divorced,0,Yes,60,9,3,3,2,6,0.3,-3,70077.0,0.0,0.6666666666666666,3,0,I am happy with my team,0.8,0.0015705871128784475,0.15705871128784474,Low Risk,82.38065741963902,High,0.15705871128784474,30-40
7,56,0,Travel Rarely,Network Administration,43,Degree,2,Female,40476,1,4,Developer,4,Divorced,0,No,35,15,4,4,1,7,0.25,-3,10119.0,0.0,0.25,8,0,Good work life balance,0.7,0.011031783449499002,1.1031783449499002,Low Risk,56.07703147263822,Medium,1.1031783449499002,50-60
8,36,0,Travel Rarely,IT Services,40,Degree,4,Male,188174,2,4,QA Analyst,1,Single,6,Yes,0,9,4,0,3,6,0.0,-6,47043.5,0.6666666666666666,inf,3,0,I am happy with my team,0.8,0.001936857797437139,0.1936857797437139,Low Risk,70.62241513760183,High,0.1936857797437139,30-40
9,40,0,Travel Rarely,Data Science,43,Degree,3,Male,162608,1,1,QA Analyst,3,Divorced,6,No,75,12,5,10,2,2,0.7692307692307693,8,162608.0,0.5,0.2,10,0,I am happy with my team,0.8,0.045898754443540295,4.589875444354029,Low Risk,65.51586037253307,Medium,4.589875444354029,30-40
10,28,1,Travel Rarely,Cyber Security,38,PhD,5,Male,31890,2,4,IT,4,Single,9,No,95,7,2,3,8,7,0.375,-4,7972.5,1.2857142857142858,2.6666666666666665,0,0,Poor management support,-0.4,0.5836440474257446,58.36440474257446,Medium Risk,54.41724789574843,Medium,58.36440474257446,18-30
11,28,1,Travel Rarely,Software Development,44,Below College,4,Male,93029,1,3,Manager,3,Divorced,7,No,66,16,1,8,2,7,0.47058823529411764,1,31009.666666666668,0.4375,0.25,9,0,No promotion opportunities,0.0,0.32035213346394487,32.035213346394485,Low Risk,70.35915529642254,High,32.035213346394485,18-30
12,41,0,Travel Rarely,Network Administration,50,Master's,2,Female,156862,5,5,Business Analyst,1,Single,6,No,24,14,3,9,10,6,0.6,3,31372.4,0.42857142857142855,1.1111111111111112,8,0,I am happy with my team,0.8,0.005390524181789278,0.5390524181789278,Low Risk,35.38924454438451,Low,0.5390524181789278,40-50
13,53,0,Travel Rarely,Data Science,3,Graduation,4,Female,108342,2,7,Help Desk,5,Divorced,4,Yes,82,17,1,6,10,5,0.3333333333333333,1,15477.42857142857,0.23529411764705882,1.6666666666666667,12,0,I am happy with my team,0.8,0.030299642011482626,3.0299642011482626,Low Risk,35.82881721196734,Low,3.0299642011482626,50-60
14,57,1,Travel Frequently,Data Science,13,Graduation,3,Female,47135,5,2,Director,1,Married,9,No,68,15,1,8,2,6,0.5,2,23567.5,0.6,0.25,9,0,Poor management support,-0.4,0.6861442153589709,68.61442153589708,Medium Risk,47.40254497692301,Medium,68.61442153589708,50-60
15,41,0,Travel Rarely,Network Administration,36,Below College,4,Male,166965,1,7,Manager,3,Married,6,No,92,7,4,4,8,3,0.5,1,23852.14285714286,0.8571428571428571,2.0,4,0,Good work life balance,0.7,0.0343673302253033,3.43673302253033,Low Risk,65.31236465103476,Medium,3.43673302253033,40-50
16,20,1,No Travel,Cyber Security,41,Degree,1,Female,94275,2,3,Director,4,Divorced,1,No,62,20,1,0,4,6,0.0,-6,31425.0,0.05,inf,14,0,Poor management support,-0.4,0.9586409073139931,95.86409073139932,High Risk,61.03483954083517,Medium,95.86409073139932,18-30
17,39,0,Travel Rarely,Data Science,48,Master's,5,Female,140423,4,6,Director,4,Single,6,No,80,0,3,3,10,3,3.0,0,23403.833333333332,inf,3.3333333333333335,-3,0,Supportive management,0.5,0.01564184135001192,1.5641841350011918,Low Risk,20.864267788529624,Low,1.5641841350011918,30-40
18,19,0,No Travel,IT Services,12,Below College,2,Female,91411,5,3,Help Desk,3,Single,5,Yes,50,9,4,5,8,0,0.5,5,30470.333333333332,0.5555555555555556,1.6,9,0,Career growth is good,0.7,0.002062611567232758,0.2062611567232758,Low Risk,17.68345785118646,Low,0.2062611567232758,18-30
19,41,0,Travel Rarely,Software Development,20,Graduation,2,Male,66389,3,8,Consultant,4,Single,7,Yes,21,3,3,4,1,1,1.0,3,8298.625,2.3333333333333335,0.25,2,0,Supportive management,0.5,0.43252450606975684,43.252450606975685,Medium Risk,39.98572657770159,Low,43.252450606975685,40-50
20,61,0,Travel Rarely,Network Administration,39,Graduation,5,Female,108525,3,2,Support,2,Single,6,No,56,7,2,10,9,8,1.25,2,54262.5,0.8571428571428571,0.9,-1,0,Good work life balance,0.7,0.0007950304121234954,0.07950304121234955,Low Risk,50.014029948449235,Medium,0.07950304121234955,
21,47,0,No Travel,Data Science,44,Graduation,5,Male,140338,4,6,Support,5,Divorced,6,No,7,17,1,7,0,2,0.3888888888888889,5,23389.666666666668,0.35294117647058826,0.0,15,0,Good work life balance,0.7,0.004327349115004738,0.4327349115004738,Low Risk,11.841070866735377,Low,0.4327349115004738,40-50
22,55,0,Travel Rarely,Software Development,8,Master's,1,Male,62779,4,8,IT,3,Divorced,5,Yes,93,20,4,0,4,1,0.0,-1,7847.375,0.25,inf,19,0,Career growth is good,0.7,0.3827716454621408,38.27716454621408,Low Risk,36.166558449331895,Low,38.27716454621408,50-60
23,19,1,Travel Frequently,Network Administration,47,Master's,1,Female,165339,3,5,Manager,5,Married,0,No,42,8,4,0,7,3,0.0,-3,33067.8,0.0,inf,5,0,High stress workload,0.16,0.7660742123196533,76.60742123196533,High Risk,37.04836845269976,Low,76.60742123196533,18-30
24,38,0,Travel Frequently,Network Administration,2,Master's,2,Male,66366,2,1,Support,3,Divorced,5,Yes,55,13,3,9,4,1,0.6428571428571429,8,66366.0,0.38461538461538464,0.4444444444444444,12,0,Supportive management,0.5,0.047388183919207516,4.738818391920752,Low Risk,53.77743853975072,Medium,4.738818391920752,30-40
25,50,0,Travel Rarely,Network Administration,11,Degree,4,Male,180901,1,1,Technician,5,Married,6,Yes,20,17,4,9,9,5,0.5,4,180901.0,0.35294117647058826,1.0,12,0,Good work life balance,0.7,0.021994330908797554,2.1994330908797552,Low Risk,47.446958780743486,Medium,2.1994330908797552,40-50
26,29,0,Travel Frequently,Cyber Security,21,Degree,5,Male,129422,2,6,Director,1,Divorced,1,No,6,18,5,5,8,8,0.2631578947368421,-3,21570.333333333332,0.05555555555555555,1.6,10,0,Career growth is good,0.7,0.0010122000879312068,0.10122000879312068,Low Risk,70.60609764861054,High,0.10122000879312068,18-30
27,39,0,No Travel,IT Services,37,Graduation,1,Male,142884,3,3,Technician,3,Divorced,2,Yes,19,8,3,1,0,1,0.1111111111111111,0,47628.0,0.25,0.0,7,0,Good work life balance,0.7,0.04748130833860261,4.7481308338602615,Low Risk,42.014376029504746,Medium,4.7481308338602615,30-40
28,61,0,Travel Rarely,Network Administration,6,Degree,1,Female,32004,5,8,Help Desk,4,Divorced,10,Yes,63,17,3,3,7,6,0.16666666666666666,-3,4000.5,0.5882352941176471,2.3333333333333335,11,0,Career growth is good,0.7,0.30282766227128666,30.282766227128665,Low Risk,14.167546981258,Low,30.282766227128665,
29,42,0,Travel Frequently,Cyber Security,19,Degree,1,Female,87681,5,3,HR,5,Married,6,Yes,12,1,2,1,9,8,0.5,-7,29227.0,6.0,9.0,-7,0,Supportive management,0.5,0.32810401725235233,32.81040172523523,Low Risk,5.790070892688569,Low,32.81040172523523,40-50
30,44,0,Travel Frequently,Network Administration,30,PhD,4,Male,189663,1,4,IT,1,Married,6,No,99,9,5,3,9,6,0.3,-3,47415.75,0.6666666666666666,3.0,3,0,I am happy with my team,0.8,0.012298393538191277,1.2298393538191277,Low Risk,82.56997165067396,High,1.2298393538191277,40-50
31,59,1,Travel Rarely,Network Administration,46,PhD,2,Female,126982,1,1,Help Desk,1,Divorced,10,Yes,72,4,1,8,7,8,1.6,0,126982.0,2.5,0.875,-4,0,No promotion opportunities,0.0,0.9966280780899146,99.66280780899146,High Risk,99.94049549570437,High,99.66280780899146,50-60
32,45,0,Travel Rarely,Cyber Security,39,PhD,2,Male,133970,3,1,Manager,1,Divorced,0,No,13,11,2,0,6,1,0.0,-1,133970.0,0.0,inf,10,0,Career growth is good,0.7,0.3082172697479294,30.82172697479294,Low Risk,64.26265770143405,Medium,30.82172697479294,40-50
33,33,0,Travel Rarely,IT Services,44,Graduation,1,Male,102145,3,5,QA Analyst,4,Single,1,No,15,13,1,1,10,1,0.07142857142857142,0,20429.0,0.07692307692307693,10.0,12,0,Career growth is good,0.7,0.7766530065079332,77.66530065079333,High Risk,46.058582467787055,Medium,77.66530065079333,30-40
34,32,0,Travel Frequently,Software Development,49,Graduation,4,Male,154938,1,4,IT,1,Married,10,No,46,7,2,2,2,1,0.25,1,38734.5,1.4285714285714286,1.0,6,0,Supportive management,0.5,0.3501781901638453,35.017819016384536,Low Risk,88.53255629700904,High,35.017819016384536,30-40
35,61,0,No Travel,Data Science,36,Master's,4,Female,190534,5,2,Help Desk,5,Married,8,No,15,5,1,3,7,8,0.5,-5,95267.0,1.6,2.3333333333333335,-3,0,Supportive management,0.5,0.016335040354770555,1.6335040354770556,Low Risk,0.2882654180253627,Low,1.6335040354770556,
36,20,0,Travel Frequently,Network Administration,20,Master's,2,Male,158080,4,8,Software Engineer,4,Divorced,6,Yes,14,0,5,7,5,2,7.0,5,19760.0,inf,0.7142857142857143,-2,0,Good work life balance,0.7,0.008227018107711044,0.8227018107711044,Low Risk,20.73341796660667,Low,0.8227018107711044,18-30
37,54,0,Travel Rarely,IT Services,10,Master's,5,Male,41845,4,2,Software Engineer,3,Married,2,No,66,18,4,8,2,2,0.42105263157894735,6,20922.5,0.1111111111111111,0.25,16,0,Supportive management,0.5,0.000135000329625675,0.013500032962567502,Low Risk,29.414147064640456,Low,0.013500032962567502,50-60
38,24,1,Travel Rarely,Data Science,24,Graduation,1,Female,135431,4,5,QA Analyst,4,Divorced,6,No,4,9,1,10,9,5,1.0,5,27086.2,0.6666666666666666,0.9,4,0,High stress workload,0.16,0.5142372168337849,51.42372168337849,Medium Risk,29.663009708831495,Low,51.42372168337849,18-30
39,38,0,No Travel,Network Administration,33,Master's,4,Female,114337,5,2,Technician,3,Single,7,No,4,0,3,1,2,6,1.0,-5,57168.5,inf,2.0,-6,0,Career growth is good,0.7,0.0005480330489164547,0.05480330489164547,Low Risk,17.65672999498088,Low,0.05480330489164547,30-40
40,26,0,Travel Rarely,Data Science,29,Degree,5,Male,181516,2,1,Technician,3,Divorced,7,No,44,11,3,2,1,2,0.16666666666666666,0,181516.0,0.6363636363636364,0.5,9,0,Good work life balance,0.7,0.021420525010912475,2.1420525010912477,Low Risk,53.3191857354867,Medium,2.1420525010912477,18-30
41,56,1,No Travel,Cyber Security,30,Degree,3,Female,82219,2,3,Manager,3,Divorced,1,Yes,88,4,1,5,2,8,1.0,-3,27406.333333333332,0.25,0.4,-4,0,Salary is low,0.0,0.6884721303483687,68.84721303483687,Medium Risk,65.09068465320651,Medium,68.84721303483687,50-60
42,35,0,Travel Frequently,IT Services,36,Master's,1,Male,144163,5,4,Director,3,Single,3,Yes,99,11,1,1,7,2,0.08333333333333333,-1,36040.75,0.2727272727272727,7.0,9,0,Career growth is good,0.7,0.599514576968913,59.951457696891296,Medium Risk,28.226727828863176,Low,59.951457696891296,30-40
43,21,0,Travel Rarely,IT Services,45,Graduation,3,Male,31691,2,2,QA Analyst,4,Divorced,8,No,90,3,4,2,3,1,0.5,1,15845.5,2.6666666666666665,1.5,2,0,I am happy with my team,0.8,0.0025973082734271013,0.25973082734271014,Low Risk,44.16348191070754,Medium,0.25973082734271014,18-30
44,42,0,Travel Rarely,Software Development,6,Degree,2,Male,46271,4,2,Manager,2,Married,10,No,90,16,5,9,2,6,0.5294117647058824,3,23135.5,0.625,0.2222222222222222,10,0,Supportive management,0.5,0.0005687760831373194,0.05687760831373194,Low Risk,38.2453313426436,Low,0.05687760831373194,40-50
